159,220,190,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,161
189,192,190,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,191
189,192,190,192,190,220,220,220,220,220,192,190,192,190,192,220,220,220,220,220,220,220,220,220,220,220,220,190,192,191
189,192,190,192,190,192,192,192,192,192,192,190,192,190,192,192,192,192,192,192,192,192,192,192,192,192,192,190,192,191
189,192,190,192,220,220,220,220,220,220,220,220,192,220,220,220,220,220,220,220,220,220,220,220,220,192,190,220,192,191
189,192,190,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,190,192,192,191
189,192,220,220,220,220,220,220,192,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,190,192,190,191
189,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,190,192,190,191
189,192,190,190,190,190,190,190,190,190,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,192,190,192,190,191
189,192,190,190,190,190,190,190,190,190,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,190,192,190,191
189,192,220,220,220,220,220,220,220,220,192,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,190,192,190,191
189,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,190,192,190,191
189,220,220,220,220,190,190,220,220,220,220,220,220,190,192,190,220,220,220,220,220,190,192,190,220,192,190,192,220,191
189,192,192,192,192,190,190,192,192,192,192,192,192,190,192,190,192,192,192,192,192,190,192,190,192,192,190,192,192,191
189,192,190,190,192,190,190,192,220,220,220,190,192,190,192,190,220,192,220,220,220,220,192,220,220,192,220,190,192,191
189,192,220,220,192,220,220,192,192,192,192,190,192,190,192,220,192,192,192,192,192,192,192,192,192,192,192,190,192,191
189,192,192,192,192,192,192,192,190,190,192,190,192,190,192,192,192,190,190,190,190,190,190,190,190,190,192,190,192,191
189,192,220,220,220,220,220,192,220,220,192,190,192,220,192,220,220,220,220,220,220,220,220,220,220,220,220,220,192,191
189,192,192,192,192,192,192,192,192,192,192,190,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,191
219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,221
